variables,type,units,values,description
rotorse.yaw,input,deg,0.0,yaw error
rotorse.rho_air,input,kg/m**3,1.225,density of air
rotorse.mu_air,input,kg/m/s,1.81e-05,dynamic viscosity of air
rotorse.shearExp,input,,0.12,shear exponent
rotorse.nBlades,input,n/a,3,number of blades
rotorse.nSector,output,n/a,4,number of sectors to divide rotor face into in computing thrust and power
rotorse.tiploss,output,n/a,True,include Prandtl tip loss model
rotorse.hubloss,output,n/a,True,include Prandtl hub loss model
rotorse.wakerotation,output,n/a,True,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
rotorse.usecd,output,n/a,True,use drag coefficient in computing induction factors
rotorse.rc.layer_web,input,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0]","1D array of the web id the layer is associated to. If the layer is on the outer profile, this entry can simply stay equal to 0."
rotorse.rc.rho,input,kg/m**3,"[1235.0, 7800.0, 7850.0, 7200.0, 1940.0, 1220.0, 1940.0, 1940.0, 130.0, 1150.0, 1100.0]","1D array of the density of the materials. For composites, this is the density of the laminate."
rotorse.rc.unit_cost,input,USD/kg,"[7.23, 0.7, 0.9, 0.5, 1.87, 30.0, 3.0, 2.86, 13.0, 3.63, 9.0]",1D array of the unit costs of the materials.
rotorse.rc.waste,input,,"[0.25, 0.0, 0.0, 0.0, 0.05, 0.05, 0.15, 0.15, 0.2, 0.0, 0.0]",1D array of the non-dimensional waste fraction of the materials.
rotorse.rc.rho_fiber,input,kg/m**3,"[0.0, 0.0, 0.0, 0.0, 2535.5, 1800.0, 2535.5, 2535.5, 0.0, 0.0, 0.0]",1D array of the density of the fibers of the materials.
rotorse.rc.roll_mass,input,kg,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 181.4368, 181.4368, 0.0, 0.0, 0.0]",1D array of the roll mass of the composite fabrics. Non-composite materials are kept at 0.
rotorse.rc.flange_adhesive_squeezed,input,,0.2,Extra width of the adhesive once squeezed
rotorse.rc.flange_thick,input,m,0.008,Average thickness of adhesive
rotorse.rc.flange_width,input,m,0.05,Average width of adhesive lines
rotorse.rc.t_bolt_unit_cost,input,USD,25.0,Cost of one t-bolt
rotorse.rc.t_bolt_unit_mass,input,kg,2.5,Mass of one t-bolt
rotorse.rc.t_bolt_spacing,input,m,0.15,Spacing of t-bolts along blade root circumference
rotorse.rc.barrel_nut_unit_cost,input,USD,12.0,Cost of one barrel nut
rotorse.rc.barrel_nut_unit_mass,input,kg,1.9,Mass of one barrel nut
rotorse.rc.LPS_unit_mass,input,kg/m,1.0,Unit mass of the lightining protection system. Linear scaling based on the weight of 150 lbs for the 61.5 m NREL 5MW blade
rotorse.rc.LPS_unit_cost,input,USD/m,40.0,Unit cost of the lightining protection system. Linear scaling based on the cost of 2500$ for the 61.5 m NREL 5MW blade
rotorse.rc.root_preform_length,input,,0.01,Percentage of blade length starting from blade root that is preformed and later inserted into the mold
rotorse.rc.definition_layer,input,n/a,"[9.0, 9.0, 2.0, 2.0, 5.0, 7.0, 8.0, 6.0, 6.0, 6.0, 6.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","1D array of flags identifying how layers are specified in the yaml. 1) all around (skin, paint, ) 2) offset+rotation twist+width (spar caps) 3) offset+user defined rotation+width 4) midpoint TE+width (TE reinf) 5) midpoint LE+width (LE reinf) 6) layer position fixed to other layer (core fillers) 7) start and width 8) end and width 9) start and end nd 10) web layer"
