variables,type,units,values,description
tower.tower_Myy,output,N*m,"[[96317618.26315734, 69030462.77466904], [77152307.69559985, 55123988.63890882], [57678444.10838093, 40978912.747313626], [37866284.06151751, 26583206.922303095], [17815762.835481524, 12028457.115821362], [-2274916.13560766, -2522314.562396005]]",
tower.tower_Mzz,output,N*m,"[[-346836.7097078701, 147327.95330848012], [-346839.7972184067, 147329.45402743277], [-346845.3753805976, 147331.7378701903], [-346856.97858079086, 147336.59471315128], [-346852.4262340079, 147333.80635760282], [-346847.8133335625, 147330.8703587166]]",
tower.turbine_F,output,N,"[[1284744.1962051503, 930198.6006328166], [7.334165275096893e-09, 4.0745362639427185e-10], [-5059645.232468988, -5624299.737090186]]",
tower.turbine_M,output,N*m,"[[4296218.65848998, -1834030.6108441453], [115215277.31412035, 82723431.44542007], [-346781.68192839005, 147301.97023764014]]",
turbine_mass,output,kg,503013.66184417286,
turbine_center_of_mass,output,m,"[-0.6427083630355379, 0.0, 66.23927077311454]",
turbine_I_base,output,kg*m**2,"[2754259058.4478197, 2661363783.4478197, 20159317.687618833, 0.0, 503710.467, 0.0]",
constr_d_to_t,output,,"[282.04679449246345, 233.74875409192987]",
constr_taper,output,,"[0.5838450756361844, 0.9545046917589489]",
slope,output,,"[0.5838450756361844, 0.9545046917589489]",
thickness_slope,output,,0.8693476885344393,
member.ca_usr_grid_full,output,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
member.cd_usr_grid_full,output,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
member.nu_full,output,,"[0.29950495049504955, 0.29950495049504955, 0.29950495049504955, 0.29950495049504955, 0.29950495049504955, 0.29950495049504955]",
member.nodes_r,output,m,"[3.4722043779833762, 2.9905460612182493, 2.508887744453122, 2.027229427687995, 1.99648628512533, 1.965743142562665, 1.935]",
member.center_of_buoyancy,output,m,"[0.0, 0.0, 0.0]",
member.displacement,output,m**3,0.0,
member.buoyancy_force,output,N,0.0,
member.idx_cb,output,,0.0,
member.Awater,output,m**2,0.0,
member.Iwaterx,output,m**4,0.0,
member.Iwatery,output,m**4,0.0,
member.added_mass,output,kg,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
member.waterline_centroid,output,m,"[0.0, 0.0]",
member.z_dim,output,m,"[0.0, 14.599999999999998, 29.199999999999996, 43.8, 58.39999999999999, 72.99999999999999, 87.6]",
member.d_eff,output,m,"[6.9444087559667524, 5.981092122436499, 5.017775488906244, 4.05445885537599, 3.99297257025066, 3.93148628512533, 3.87]",
tower_section_height,output,m,"[43.8, 43.8]",
member.sigma_ult,output,Pa,"[600000000.0, 600000000.0]",
member.wohler_exp,output,,"[10.0, 10.0]",
member.wohler_A,output,,"[10.0, 10.0]",
member.ballast_density,output,kg/m**3,[],
member.ballast_unit_cost,output,USD/kg,[],
z_param,output,m,"[0.0, 43.8, 87.6]",
member.sec_loc,output,,"[0.0, 1.0]",normalized sectional location
member.str_tw,output,deg,"[0.0, 0.0]",structural twist of section
member.tw_iner,output,deg,"[0.0, 0.0]",inertial twist of section
member.mass_den,output,kg/m,"[3052.986148063437, 1910.8234830821]",sectional mass per unit length
member.foreaft_iner,output,kg*m,"[11460.174726023082, 3717.8679321010723]",sectional fore-aft intertia per unit length about the Y_G inertia axis
member.sideside_iner,output,kg*m,"[11460.174726023082, 3717.8679321010723]",sectional side-side intertia per unit length about the Y_G inertia axis
member.foreaft_stff,output,N*m**2,"[264610961238.57584, 85844119377.81476]",sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
member.sideside_stff,output,N*m**2,"[264610961238.57584, 85844119377.81476]",sectional side-side bending stiffness per unit length about the Y_E elastic axis
member.tor_stff,output,N*m**2,"[203624434934.06598, 66059093768.83269]",sectional torsional stiffness
member.axial_stff,output,N,"[70492258503.93863, 44120168383.423965]",sectional axial stiffness
member.cg_offst,output,m,"[0.0, 0.0]",offset from the sectional center of mass
member.sc_offst,output,m,"[0.0, 0.0]",offset from the sectional shear center
member.tc_offst,output,m,"[0.0, 0.0]",offset from the sectional tension center
member.axial_load2stress,output,m**2,"[[0.6263816023667158, 0.6263816023667158, 2.979050529190615, 2.1822246020824054, 2.1822246020824054, 0.0], [0.6263816023667158, 0.6263816023667158, 4.759727981430311, 4.846390095472956, 4.846390095472956, 0.0]]",
member.shear_load2stress,output,m**2,"[[4.898547097345639, 4.898547097345639, 0.0, 0.0, 0.0, 1.0911123010412027], [7.823977143442525, 7.823977143442525, 0.0, 0.0, 0.0, 2.423195047736478]]",
member.labor_hours,output,h,200.01347958819198,
tower_cost,output,USD,1067893.9966314787,
member.section_D,output,m,"[6.462750439201626, 5.499433805671371, 4.536117172141116, 4.023715712813325, 3.962229427687995, 3.900743142562665]",
member.section_t,output,m,"[0.019498302810239246, 0.019498302810239246, 0.019498302810239246, 0.016950804478426052, 0.016950804478426052, 0.016950804478426052]",
member.section_sigma_y,output,Pa,"[450000000.0, 450000000.0, 450000000.0, 450000000.0, 450000000.0, 450000000.0]",
