variables,type,units,values,description
towerse.env2.Px,output,N/m,"[   0.         6506.04721914 8326.99081083 9189.92845355 9486.83534284
 9404.47282605 9059.01871719]",
towerse.env2.Py,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env2.Pz,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env2.qdyn,output,N/m**2,"[   0.         1465.68847497 1933.98753745 2274.52217262 2551.911855
 2790.16363831 3001.25      ]",
towerse.env2.wind.U,output,m/s,"[ 0.         48.91789831 56.19190932 60.93853943 64.5475538  67.49347528
 70.        ]",
towerse.env2.windLoads.windLoads_Px,output,N/m,"[   0.         6506.04721914 8326.99081083 9189.92845355 9486.83534284
 9404.47282605 9059.01871719]",
towerse.env2.windLoads.windLoads_Py,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env2.windLoads.windLoads_Pz,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env2.windLoads.windLoads_qdyn,output,N/m**2,"[   0.         1465.68847497 1933.98753745 2274.52217262 2551.911855
 2790.16363831 3001.25      ]",
towerse.env2.windLoads.windLoads_z,output,m,[ 0. 15. 30. 45. 60. 75. 90.],
towerse.env2.windLoads.windLoads_beta,output,deg,[0.],
towerse.g2e1.Px,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.g2e1.Py,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.g2e1.Pz,output,N/m,"[   0.         -143.91455247 -182.00745621 -200.40117732 -207.58001213
 -207.0892654  -200.80448402]",
towerse.g2e1.qdyn,output,Pa,"[ 0.         41.20818467 54.37452566 63.94873899 71.74761675 78.44612305
 84.38086698]",
towerse.g2e2.Px,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.g2e2.Py,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.g2e2.Pz,output,N/m,"[    0.         -6506.04721914 -8326.99081083 -9189.92845355
 -9486.83534284 -9404.47282605 -9059.01871719]",
towerse.g2e2.qdyn,output,Pa,"[   0.         1465.68847497 1933.98753745 2274.52217262 2551.911855
 2790.16363831 3001.25      ]",
towerse.post.axial_stress,output,Pa,"[[1.31249001e+08 8.98180230e+07]
 [1.18523594e+08 8.06696248e+07]
 [1.00206714e+08 6.74491180e+07]
 [8.82546224e+07 5.77227969e+07]
 [4.49096636e+07 2.59882354e+07]
 [5.91254220e+06 5.18701022e+05]]",
towerse.post.shear_stress,output,Pa,"[[4965956.95432832 3520607.1688945 ]
 [5310636.31820759 3760821.10806681]
 [5705258.89755748 4035180.12458355]
 [7351302.70558983 5191918.38983957]
 [7987517.61298305 5631146.17827651]
 [8741205.22629173 6148712.89680142]]",
towerse.post.hoop_stress,output,Pa,"[[  -2428.05827129  -86360.92692097]
 [  -5287.06437045 -188049.76186991]
 [  -6118.05831509 -217606.46904335]
 [  -7800.72897465 -277455.52603691]
 [  -7987.06248128 -284083.01704035]
 [  -7957.37871556 -283027.22791374]]",
