variables,type,units,values,description
bedplate_shear_stress,output,Pa,"[[3.43056087e+05]
 [1.42083028e+06]
 [1.68361934e+06]
 [1.94785413e+06]
 [2.27306907e+06]
 [7.90977295e+07]
 [7.54767563e+06]
 [5.82999083e+06]
 [5.78494497e+06]
 [3.11467499e+05]
 [2.59870262e-01]
 [3.43076545e+05]
 [3.01025526e+06]
 [3.27388361e+06]
 [3.53815822e+06]
 [3.86286568e+06]
 [8.57719173e+07]
 [6.20486794e+06]
 [5.82999082e+06]
 [5.78494506e+06]
 [3.11467594e+05]
 [1.87717028e-01]]",
bedplate_bending_stress,output,Pa,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
constr_bedplate_vonmises,output,,"[[3.05597946e-03]
 [1.32516767e-02]
 [1.48535137e-02]
 [1.81572144e-02]
 [2.37784390e-02]
 [7.02109768e-01]
 [6.89886021e-02]
 [5.29049100e-02]
 [5.20786979e-02]
 [2.76928655e-03]
 [2.32969603e-09]
 [3.05616170e-03]
 [2.66190516e-02]
 [2.89426322e-02]
 [3.20721360e-02]
 [3.71098694e-02]
 [7.66543062e-01]
 [6.49835350e-02]
 [5.29102721e-02]
 [5.20802305e-02]
 [2.76928736e-03]
 [1.70301261e-09]]",
constr_mb1_defl,output,,[0.00010379],
constr_mb2_defl,output,,[2.83171609e-05],
constr_stator_deflection,output,,[4.4264448],
constr_stator_angle,output,,[0.96980114],
drivetrain_spring_constant,output,N*m/rad,[1.27856195e+09],
drivetrain_damping_coefficient,output,N*m*s/rad,[0.],
stage_ratios,output,,[4.57885697 4.57885697 4.57885697],
D_gearbox,output,m,[1.512],
generator_efficiency,output,,"[0.8922958  0.89315817 0.89395717 0.89469952 0.89539104 0.89603679
 0.89664115 0.89720799 0.8977407  0.89824227 0.89871534 0.89916229
 0.89958521 0.899986   0.90036635 0.90072778 0.90107167 0.90139927
 0.9017117  0.90201   ]",
hss_axial_stress,output,Pa,"[[2.76777825e+05]
 [2.01646393e-03]]",
hss_shear_stress,output,Pa,"[[5117901.47195316]
 [4627495.22965122]]",
hss_bending_stress,output,Pa,"[[0.]
 [0.]]",
constr_hss_vonmises,output,,"[[0.0320922 ]
 [0.02900294]]",
hub_system_cost,output,USD,[9486.49128736],
constr_hub_diameter,output,m,[0.09191447],
spinner.spinner_diameter,output,m,[6.99985364],
L_lss,output,m,[2.17840975],
constr_length,output,m,[3.13541912],
torq_deflection,output,m,[2.06414487e-05],
torq_angle,output,rad,[2.01289211e-09],
lss_axial_stress,output,Pa,"[[4.96642405e+03]
 [4.21957545e+07]
 [4.01287436e+07]
 [3.72000122e+07]]",
lss_shear_stress,output,Pa,"[[1.60381831e+08]
 [1.54820176e+08]
 [1.48210072e+08]
 [1.09677443e+08]]",
constr_lss_vonmises,output,,"[[1.00519699]
 [0.98227881]
 [0.94019123]
 [0.70046197]]",
lss_axial_load2stress,output,m**2,[ 2.72268422  0.          0.          0.         30.50147119 30.50147119],
lss_shear_load2stress,output,m**2,[ 0.          3.1648963   3.1648963  15.25073559  0.          0.        ],
constr_shaft_deflection,output,,[0.36225742],
constr_shaft_angle,output,,[3.53262565e-06],
hub_E,output,Pa,[1.18e+11],
hub_G,output,Pa,[4.76e+10],
hub_rho,output,kg/m**3,[7200.],
hub_Xy,output,Pa,[2.65e+08],
hub_wohler_exp,output,,[10.],
hub_wohler_A,output,,[10.],
hub_mat_cost,output,USD/kg,[0.5],
spinner_rho,output,kg/m**3,[1940.],
spinner_Xt,output,Pa,[38100000.],
spinner_mat_cost,output,USD/kg,[1.9],
lss_Xt,output,Pa,[8.14e+08],
lss_wohler_exp,output,,[10.],
lss_wohler_A,output,,[10.],
lss_cost,output,USD/kg,[0.9],
hss_Xt,output,Pa,[8.14e+08],
hss_wohler_exp,output,,[10.],
hss_wohler_A,output,,[10.],
hss_cost,output,USD/kg,[0.9],
bedplate_mat_cost,output,USD/kg,[0.7],
cover_length,output,m,[8.3380058],
cover_height,output,m,[2.60034774],
cover_width,output,m,[2.079],
mean_bearing_mass,output,kg,[30785.64283173],
total_bedplate_mass,output,kg,[36778.43350447],
above_yaw_mass,output,kg,[173282.74085076],
above_yaw_cm,output,m,[-0.04229125 -0.12113908  1.05709965],
nacelle_I,output,kg*m**2,"[ 3.93749977e+05  8.25393303e+05  1.01998127e+06  8.58390192e+02
  9.56895051e+02 -1.61927926e+03]",
above_yaw_I,output,kg*m**2,"[ 3.87262156e+05  8.18979327e+05  1.01988692e+06  8.87748816e+02
  7.00702001e+02 -2.35311878e+03]",
above_yaw_I_TT,output,kg*m**2,"[ 583441.4995576  1012925.72706659 1022739.71449653       0.
    8447.49152529   19836.78984   ]",
rotor_mass,output,kg,[65275.36433981],
rna_mass,output,kg,[244702.30882322],
rna_cm,output,m,[-2.67954703 -0.08578306  1.35889269],
rna_I_TT,output,kg*m**2,"[ 3.73562532e+07  2.54235302e+07  2.21341314e+07  1.04098862e+00
 -4.26571243e+05  1.98107696e+04]",
hss_rpm,output,rpm,"[ 662.4         688.67368421  714.94736842  741.22105263  767.49473684
  793.76842105  820.04210526  846.31578947  872.58947368  898.86315789
  925.13684211  951.41052632  977.68421053 1003.95789474 1030.23157895
 1056.50526316 1082.77894737 1109.05263158 1135.32631579 1161.6       ]",
